Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;ZL9;ZL10;ZL11;ZL12;ZL13;ZL14;ZL15;ZL16;ZL17;ZL18;ZL19;ZL20;Sum;Average
Zonato;Stefano;ASD LESSINIA ORIENTEERING BOSCO CHIESANUOVA;A;1:13:25;26;771;;;;;;;;;;;;;;682;;;;;;771;1453;726
Erznožnik;Matic;OK Azimut;A;1:20:36;37;683;;;;;;;;;765;;;;;;;;;-;;683;1448;724
Vegelj;Nace;OK Azimut;A;;;;;;;;;;;;638;;;;;;;;;800;;;1438;719
Cafagna;Michele;ORIENTEERING TRIESTE  ASD;A;1:19:04;33;702;;;;;;;;;;;;;;736;;;;;;702;1438;719
Clemente;Mauro;SSD Gaja;A;1:31:30;41;548;;;;;;;;;;;;;;856;;;;;;548;1404;702
Sylvester;Mark;UWC ADRIATIC ORIENTEERING CLUB;A;1:20:02;35;690;;;;;;;;;;;;;;677;;;;;;690;1367;684
Hechich;Marirosa;Semiperdo Maniago;A;1:22:04;39;665;;;;;;;;;;;;;;-;;;;656;;665;1321;660
Zacchigna;Serena;ORIENTEERING TRIESTE  ASD;A;1:17:55;32;716;;;;;;;;;;;;;;545;;;;;;716;1261;630
De Luisa;Marko;SSD Gaja;A;1:29:33;40;572;;;;;;;;;;;;;;658;;;;;;572;1230;615
Pfeifer;Christian;OLCG;A;;;;;;;;;;;;;;;;;;;;1208;;;;1208;1208
Sladič;Roman;OK Perkmandeljc;A;;;;;;;;;;;;;-;;590;;;;;;569;;;1159;580
Wolfram;Clemens;Naturfreunde  Wien;A;;;;;;;;;;;;;;;;;;;;1133;;;;1133;1133
Lapajne;Janko;OK Azimut;A;;;;;;;593;;;;;527;;;;;;;;;;;;1120;560
Mukhidinov;Serhiy;ind.;A;0:47:21;2;1093;;;;;;;;;;;;;;;;;;;;1093;1093;1093
Gröll;Georg;Naturfreunde  Wien;A;;;;;;;;;;;;;;;;;;;;1088;;;;1088;1088
Renner;Wilfreid;OLCG;A;;;;;;;;;;;;;;;;;;;;1056;;;;1056;1056
Rojc;Iztok;OK Polaris;A;;;;;;;;;;;;1038;;;;;;;;;;;;1038;1038
Piltaver;Jaka;OK Brežice;A;;;;;;;;;;;;;;;;;;;1031;;;;;1031;1031
Pietsch;Werner;Naturfreunde  Wien;A;;;;;;;;;;;;;;;;;;;;1028;;;;1028;1028
Lapajne;Jošt;OK Azimut;A;;;;;;;;;1018;;;;;-;;;;;;;;;;1018;1018
Soban;Matic;PD Ajdovščina;A;;;;;;;;;;;;;;;;;;;994;;;;;994;994
Hvala;Gregor;OK Azimut;A;;;;;;;;;;;;;;978;;;;;;;;;;978;978
Gaion;Sara;ORIENTEERING TRIESTE  ASD;A;1:40:41;43;435;;;;;;;;;;;;;;543;;;;;;435;978;489
Anderluh;Gregor;OK Polaris;A;;;;;;;;;;;;;;977;;;;;;;;;;977;977
Kostanjevec;Matej;Mariborski OK;A;;;;;;;;;;;;;;;;;;;;972;;;;972;972
Micko;Tobias;go harzberg;A;;;;;;;;;;;;;;;;;;;;932;;;;932;932
Giacchetto;Alessandro;SEMIPERDO MANIAGO;A;;;;;;;;;;;;;;;;;922;;;;;;;922;922
Sedej;Vlado;OK Azimut;A;;;;;;;716;205;;;;;;;;;;;;;;;;921;460
Huss;Arno;SPUK;A;;;;;;;;;;;;;;;;;;;;914;;;;914;914
Kolner;Blaž;OK Komenda;A;;;;;;;;;;;;;911;;;;;;;;;;;911;911
Pacasso;Alessandro;SCI CLUB UDINE ASD;A;1:02:25;12;907;;;;;;;;;;;;;;;;;;;;907;907;907
Kreft;Tilen;RPK;A;;;;;;;;;;;;;;;;;;904;;;;;;904;904
Pandel;Rok;RPK;A;;;;;;;;;;;;;;;;;;904;;;;;;904;904
Česnik;Jure;Topo;A;;;;;;;;;;;;;;;;;;897;;;;;;897;897
Grah;Blaž;Topo;A;;;;;;;;;;;;;;;;;;897;;;;;;897;897
Arh;Tina;OK Polaris;A;;;;;;;;;;;;;;;;;;883;;;;;;883;883
Ogorevc;Matej;PD Domžale;A;;;;;;;;;;;;;;;;;;883;;;;;;883;883
Lerchegger;Maximilian;Leibnitzer AC;A;;;;;;;;;;;;;;;;;;;;877;;;;877;877
Foški;Mojca;OK Polaris;A;;;;;;;;;;;;;;;;;;874;;;;;;874;874
Kodrič;Nejc;PD Ajdovščina;A;;;;;;;870;;;;;;;;;;;;;;;;;870;870
Pobežin;Robert;OK Polaris;A;;;;;;867;;;;;;;;;;;;;;;;;;867;867
Kohlbacher;Roland;Naturfreunde Villach;A;;;;;;;;;;;;;;;;;;;;857;;;;857;857
Cerar;Gašper;RMT;A;;;;;;;;;;;;;;;;;;856;;;;;;856;856
Novljan;Anja;RPK;A;;;;;;;;;;;;;;;;;;856;;;;;;856;856
Kölner;Irena Hacin;OK Komenda;A;;;;;;;;;;;;;;;;;;855;;;;;;855;855
Bauci;Gabriele;PUNTO K ORIENTEERING ASD;A;;;;;;;;;;;;;;;;;849;;;;;;;849;849
Kranjc;Nace;Rod aragonitnih Kamnitnikov;A;;;;;;;;;;;;;;;;;;823;;;;;;823;823
